Name,Category,City,Country,IG,URL,Última edición
Caroline Bagley,"Branding, Graphic Design",Truckee,USA,https://www.instagram.com/carolinebagley/,https://carolinebagley.co/,29 de mayo de 2023 12:18
Pascal Alexander,Graphic Design,Zurich,Switzerland,,https://pascalalexander.com/,29 de mayo de 2023 12:22
Farbod Kokabi,"Branding, Graphic Design",San Francisco,USA,https://www.instagram.com/farbodkokabi/,https://farbodkokabi.com/,29 de mayo de 2023 12:23
Reesaw,"Branding, Graphic Design, Packaging","HangZhou, NingBo, ShangHai",China,,http://www.reesaw.com/,29 de mayo de 2023 12:24
Miska Studio,Graphic Design,New York,USA,https://www.instagram.com/miska__studio/,https://www.miskastudio.com/,29 de mayo de 2023 12:27
Noah Baker Studio,"Branding, Graphic Design, Packaging",New York,USA,https://www.instagram.com/noahbaker.studio/,https://noahbaker.studio/,29 de mayo de 2023 12:35
Ascend Studio,"Branding, Interactive",London,UK,https://www.instagram.com/ascendstudio/,https://www.ascendstudio.co.uk/,29 de mayo de 2023 12:36
Yung Studio,Branding,Oakland,USA,https://www.instagram.com/yung__studio/,https://www.yung.studio/,29 de mayo de 2023 12:39
Rees Morgan,"Branding, Graphic Design",Vancouver,Canada,https://www.instagram.com/reesmorgan_/,https://reesmorgan.ca/,29 de mayo de 2023 12:40
V–A Studio,"Branding, Interactive",Lisbon,Portugal,https://www.instagram.com/studio_v.a/,https://v-a.studio/,29 de mayo de 2023 12:42
StudioWMW,"Branding, Packaging",Hong Kong,China,https://www.instagram.com/studiowmw/,http://www.studiowmw.com/,29 de mayo de 2023 12:44
U.I.WD.,"Branding, Packaging",Sao Paulo,Brazil,https://www.instagram.com/uiwd/,https://www.uiwd.co/,29 de mayo de 2023 12:45
Sam Taylor,"Branding, Interactive","Berlin, London","Germany, UK",https://www.instagram.com/samtaylor.design/,https://samtaylor.design/,29 de mayo de 2023 12:47
Justin Hunt Sloane,"Graphic Design, Packaging",Los Angeles,USA,https://www.instagram.com/justinhuntsloane/,https://justinsloane.com/,29 de mayo de 2023 12:48
Fix Studio,"Branding, Graphic Design, Interactive",New York,USA,https://www.instagram.com/fixdotstudio/,https://fix.studio/,29 de mayo de 2023 12:49
Skala,"Branding, Graphic Design, Interactive, Typography",Zurich,Switzerland,https://www.instagram.com/skaladesign.ch/,https://skaladesign.ch/,29 de mayo de 2023 12:51
U–P,"Branding, Graphic Design, Interactive",Melbourne,Australia,https://www.instagram.com/u____p/,https://u-p.co/,29 de mayo de 2023 12:53
Sylvan Hillebrand,Graphic Design,Amsterdam,The Netherlands,https://www.instagram.com/sylvanhillebrand/,https://sylvanhillebrand.design/,2 de junio de 2023 18:53
Foundry,Branding,Leeds,UK,https://www.instagram.com/madeby_foundry/,https://www.madebyfoundry.co.uk/,29 de mayo de 2023 13:07
